,"詞彙
Vocabulary","漢語拼音
Pinyin","詞類
Parts of Speech",印尼語 Indonesian
1,我,wŏ,N,Saya/aku
2,你/妳,nĭ,N,Kamu
3,他/她,tā,N,Dia (laki-laki/perempuan)
4,我們,wŏmen ,N,Kita/kami
5,你們/妳們,nĭmen ,N,Kalian
6,他們/她們,tāmen,N,Mereka (laki-laki/perempuan)
7,您,nín ,N,Anda
8,誰,shéi ,N,Siapa
9,姓名,xìngmíng ,N,Nama lengkap
10,人,rén ,N,Manusia/orang
11,國,guó ,N,Negara
12,中國,zhōngguó ,N,Tiongkok
13,美國,měiguó ,N,Amerika Serikat
14,日本,rìběn ,N,Jepang
15,台灣/臺灣,táiwān,N,Taiwan
16,名字(˙ㄗ),míngzi,N,Nama
17,家,jiā ,N,Rumah/keluarga
18,電話,diànhuà ,N,Telepon
19,時間,shíjiān ,N,Waktu
20,小時,xiăoshí ,N,Jam (durasi)
21,現在,xiànzài ,N,Sekarang
22,今年,jīnnián ,N,Tahun ini
23,今天,jīntiān ,N,Hari ini
24,明天,míngtiān ,N,Besok
25,昨天,zuótiān ,N,Kemarin
26,早上,zăoshàng ,N,Pagi
27,上午,shàngwŭ,N,Pagi (jelang siang)
28,中午,zhōngwŭ,N,Siang/tengah hari
29,下午,xiàwŭ,N,Sore
30,晚上,wănshàng ,N,Malam
31,一,yī ,N,Satu
32,二,èr ,N,Dua
33,三,sān ,N,Tiga
34,四,sì ,N,Empat
35,五,wŭ,N,Lima
36,六,liù ,N,Enam
37,七,qī ,N,Tujuh
38,八,bā ,N,Delapan
39,九,jiŭ,N,Sembilan
40,十,shí ,N,Sepuluh
41,兩,liăng ,N,Dua (nominal)
42,時候,shíhòu ,N,Saat/momen
43,百,băi ,N,Ratusan
44,半,bàn ,N,Setengah
45,千,qiān ,N,Ribuan
46,爸爸/爸,bàba/bà,N,Ayah
47,媽媽/媽,māma/mā,N,Ibu
48,哥哥/哥,gēge/gē,N,Kakak(laki-laki)
49,弟弟/弟,dìdi/dì,N,Adik (laki-laki)
50,姊姊/姐姐/姊/姐,jiějie/jiě,N,Kakak(perempuan)
51,妹妹/妹,mèimei/mèi,N,Adik (perempuan)
52,小孩(子),xiăohái(zi) ,N,Anak kecil
53,的,de ,Ptc,Kepunyaan
54,第,dì ,Det,Ke- (penanda urutan)
55,分,fēn,M,Menit
56,點,diăn,M,Jam (penunjuk waktu)
57,個,ge,M,Kata satuan (umum)
58,歲,suì ,M,Usia/tahun(satuan umur)
59,年,nián ,M,Tahun
60,住,zhù ,V,Tinggal
61,來,lái ,V,Datang
62,是,shì ,Vst,Adalah/ya/benar
63,姓,xìng ,Vst,Marga
64,覺得,juéde,Vst,Merasa
65,喜歡,xĭhuān ,Vst,Suka
66,打電話,dădiànhuà ,Vi,Menelepon
67,漂亮,piàolìang,Vs,Cantik/indah
68,高,gāo ,Vs,Tinggi
69,老,lăo ,Vs,Tua
70,好,hăo ,Adv,Baik/bagus
71,很,hěn ,Adv,Sangat
72,真,zhēn ,Adv,Sungguh/benar-benar
73,電腦,diànnăo ,N,Komputer
74,老師,lăoshī ,N,Guru
75,買,măi ,V,Membeli
76,忙,máng ,Vs,Sibuk
77,學生,xuéshēng ,N,Murid/pelajar
78,大學,dàxué ,N,Universitas
79,學校,xuéxiào ,N,Sekolah
80,中文,zhōngwén ,N,Bahasa Mandarin
81,同學,tóngxué ,N,Teman sekolah/sekelas
82,字,zì ,N,Tulisan/huruf/karakter
83,筆,bĭ,N,Pen
84,學,xué ,V,Belajar
85,問,wèn ,V,Tanya
86,說,shuō ,V,Bilang/ngomong/bicara
87,寫,xiě ,V,Tulis
88,聽,tīng ,V,Dengar
89,對,duì ,Vs,Benar
90,能,néng ,Vaux,Bisa
91,可以,kěyĭ,Vaux,Boleh/bisa
92,上課,shàngkè ,V-sep,Masuk kelas (belajar)
93,知道,zhīdào ,Vst,Tahu
94,電視(機),diànshì(jī) ,N,Televisi
95,水,shuĭ,N,Air
96,久,jiŭ,Vs-pred,Lama (durasi)
97,早,zăo ,Vs,Pagi/awal
98,再,zài ,Adv,Lagi/ulang
99,書,shū ,N,Buku
100,電影,diànyĭng ,N,Film
101,以前,yĭqián ,N,Dulu/sebelumnya
102,以後,yĭhòu ,N,Ke depannya/setelah
103,走,zŏu ,V,Berjalan/jalan
104,等,děng ,V,Tunggu
105,看,kàn ,V,Lihat
106,就,jiù ,Adv,Langsung/saja (fungsi grammar)
107,什麼/甚麼,shénme,N,Apa
108,朋友,péngyŏu ,N,Teman
109,東西,dōngxi ,N,Barang
110,吧,ba ,Ptc,Ajakan/saran (fungsi grammar)
111,呢,ne ,Ptc,Pertanyaan lanjutan (fungsi grammar)
112,嗎,ma,Ptc,Pertanyaan (fungsi grammar)
113,找,zhăo ,V,Cari
114,做,zuò ,V,Melakukan/membuat
115,再見,zàijiàn ,Vi,Sampai jumpa
116,怎麼樣,zěnmeyàng ,Vs,Bagaimana(cara)
117,叫,jiào ,Vst / V,Panggil
118,謝謝,xièxie,Vst,Terimakasih
119,對不起,duìbùqĭ,,Maaf
120,請問,qĭngwèn ,,Izin tanya
121,這,zhè ,Det,Ini
122,那,nà ,Det,Itu
123,公共汽車/公車,gōnggòngqìchē/gōngchē ,N,Bus umum
124,車(子),chē(zi) ,N,Mobil/kendaraan
125,到,dào ,V,Sampai/tiba
126,去,qù ,V,Pergi
127,回,huí ,V,Pulang
128,坐,zuò ,Vi,Duduk/naik(kendaraan)
129,這裡/這裏/這兒,zhèlĭ/zhèr ,N,Sini
130,那裡/那裏/那兒,nàlĭ/nàr ,N,Sana
131,哪裡/哪裏/哪兒,nălĭ/năr ,N,Mana/di mana
132,開車,kāichē ,V-sep,Menyetir
133,錢,qián ,N,Uang
134,多少,duōshăo ,N,Berapa (jumlah)
135,給,gěi ,V,Kasih/untuk
136,貴,guì ,Vs,Mahal
137,便宜,piányí ,Vs,Murah
138,大,dà ,Vs,Besar
139,小,xiăo ,Vs,Kecil
140,難,nán ,Vs,Sulit
141,容易,róngyì ,Vs,Mudah
142,有,yŏu ,Vst,Ada/punya
143,想,xiăng ,Vst,Ingin/berpikir
144,幾,jĭ,Det,Berapa
145,塊,kuài ,M,Dollar (satuan uang)
146,位,wèi ,M,Kata satuan untuk orang (formal)
147,飯,fàn ,N,Nasi/makanan
148,吃,chī ,V,Makan
149,請,qĭng ,V,Silakan
150,也,yě ,Adv,Juga
151,不,bù,Adv,Tidak
152,沒,méi ,Adv,Tidak ada/belum
153,都,dōu ,Adv,Semua
154,只,zhĭ,Adv,Hanya
155,可是,kěshì ,Conj,Tetapi
156,還是,háishì ,Conj,Atau(dalam bertanya)
157,了,le,Ptc,Partikel aspek (sudah)
158,得,de,Ptc,Partikel tata bahasa (menyatakan cara)
159,過,guò ,Ptc,Pernah/melewati
160,沒有,méiyŏu,Ptc,Tidak ada/belum pernah
